,x..i..
2007-06-04 15:00:00,96.1175
2007-06-05 15:00:00,96.1125
2007-06-06 15:00:00,96.1225
2007-06-07 15:00:00,96.1075
2007-06-08 15:00:00,96.1125
2007-06-11 15:00:00,96.1075
2007-06-12 15:00:00,96.0975
2007-06-13 15:00:00,96.0925
2007-06-14 15:00:00,96.0925
2007-06-15 15:00:00,96.0975
2007-06-18 15:00:00,96.1025
2007-06-19 15:00:00,96.1125
2007-06-20 15:00:00,96.1125
2007-06-21 15:00:00,96.1175
2007-06-22 15:00:00,96.1325
2007-06-25 15:00:00,96.1425
2007-06-26 15:00:00,96.1325
2007-06-27 15:00:00,96.1375
2007-06-28 15:00:00,96.1225
2007-06-29 15:00:00,96.1325
2007-07-02 15:00:00,96.1275
2007-07-03 15:00:00,96.1275
2007-07-05 15:00:00,96.1175
2007-07-06 15:00:00,96.1125
2007-07-09 15:00:00,96.1125
2007-07-10 15:00:00,96.1225
2007-07-11 15:00:00,96.1225
2007-07-12 15:00:00,96.1225
2007-07-13 15:00:00,96.1225
2007-07-16 15:00:00,96.1225
2007-07-17 15:00:00,96.1175
2007-07-18 15:00:00,96.1225
2007-07-19 15:00:00,96.1225
2007-07-20 15:00:00,96.1275
2007-07-23 15:00:00,96.1275
2007-07-24 15:00:00,96.1275
2007-07-25 15:00:00,96.1325
2007-07-26 15:00:00,96.2075
2007-07-27 15:00:00,96.2075
2007-07-30 15:00:00,96.1875
2007-07-31 15:00:00,96.1875
2007-08-01 15:00:00,96.2075
2007-08-02 15:00:00,96.2025
2007-08-03 15:00:00,96.2425
2007-08-06 15:00:00,96.2325
2007-08-07 15:00:00,96.1675
2007-08-08 15:00:00,96.1325
2007-08-09 15:00:00,96.2225
2007-08-10 15:00:00,96.2275
2007-08-13 15:00:00,96.1975
2007-08-14 15:00:00,96.1875
2007-08-15 15:00:00,96.2
2007-08-16 15:00:00,96.2675
2007-08-17 15:00:00,96.35
2007-08-20 15:00:00,96.3725
2007-08-21 15:00:00,96.3425
2007-08-22 15:00:00,96.2525
2007-08-23 15:00:00,96.1725
2007-08-24 15:00:00,96.13
2007-08-27 15:00:00,96.1375
2007-08-28 15:00:00,96.1425
2007-08-29 15:00:00,96.065
2007-08-30 15:00:00,96.0075
2007-08-31 15:00:00,95.955
2007-09-04 15:00:00,95.86
2007-09-05 15:00:00,95.905
2007-09-06 15:00:00,95.8675
2007-09-07 15:00:00,95.9025
2007-09-10 15:00:00,95.8575
2007-09-11 15:00:00,95.7125
2007-09-12 15:00:00,95.6725
2007-09-13 15:00:00,95.6975
2007-09-14 15:00:00,95.7525
2007-09-17 15:00:00,95.7325
2007-09-18 15:00:00,95.9275
2007-09-19 15:00:00,95.9875
2007-09-20 15:00:00,95.9075
2007-09-21 15:00:00,95.9025
2007-09-24 15:00:00,95.7925
2007-09-25 15:00:00,95.7725
2007-09-26 15:00:00,95.8125
2007-09-27 15:00:00,95.8375
2007-09-28 15:00:00,95.7975
2007-10-01 15:00:00,95.7475
2007-10-02 15:00:00,95.7175
2007-10-03 15:00:00,95.6875
2007-10-04 15:00:00,95.6875
2007-10-05 15:00:00,95.6225
2007-10-09 15:00:00,95.5925
2007-10-10 15:00:00,95.5925
2007-10-11 15:00:00,95.6775
2007-10-12 15:00:00,95.6775
2007-10-15 15:00:00,95.6875
2007-10-16 15:00:00,95.7175
2007-10-17 15:00:00,95.7675
2007-10-18 15:00:00,95.8325
2007-10-19 15:00:00,95.9375
2007-10-22 15:00:00,95.9275
2007-10-23 15:00:00,95.9275
2007-10-24 15:00:00,96.0075
2007-10-25 15:00:00,95.9975
2007-10-26 15:00:00,95.9975
2007-10-29 15:00:00,95.9575
2007-10-30 15:00:00,95.9425
2007-10-31 15:00:00,95.8925
2007-11-01 15:00:00,95.8975
2007-11-02 15:00:00,95.8725
2007-11-05 15:00:00,95.7925
2007-11-06 15:00:00,95.7825
2007-11-07 15:00:00,95.8225
2007-11-08 15:00:00,95.8925
2007-11-09 15:00:00,95.9075
2007-11-13 15:00:00,95.8675
2007-11-14 15:00:00,95.8325
2007-11-15 15:00:00,95.7575
2007-11-16 15:00:00,95.7625
2007-11-19 15:00:00,95.7525
2007-11-20 15:00:00,95.7825
2007-11-21 15:00:00,95.8475
2007-11-23 15:00:00,95.83
2007-11-26 15:00:00,95.8175
2007-11-27 15:00:00,95.7775
2007-11-28 15:00:00,95.7775
2007-11-29 15:00:00,95.7925
2007-11-30 15:00:00,95.7975
2007-12-03 15:00:00,95.725
2007-12-04 15:00:00,95.74
2007-12-05 15:00:00,95.7425
2007-12-06 15:00:00,95.7025
2007-12-07 15:00:00,95.6575
2007-12-10 15:00:00,95.6425
2007-12-11 15:00:00,95.6225
2007-12-12 15:00:00,95.7275
2007-12-13 15:00:00,95.6725
2007-12-14 15:00:00,95.6325
2007-12-17 15:00:00,95.6375
2007-12-18 15:00:00,95.7175
2007-12-19 15:00:00,95.7475
2007-12-20 15:00:00,95.7675
2007-12-21 15:00:00,95.7325
2007-12-24 15:00:00,95.7175
2007-12-26 15:00:00,95.6875
2007-12-27 15:00:00,95.7175
2007-12-28 15:00:00,95.7925
2007-12-31 15:00:00,95.8275
2008-01-02 15:00:00,95.9575
2008-01-03 15:00:00,95.9725
2008-01-04 15:00:00,96.0875
2008-01-07 15:00:00,96.1175
2008-01-08 15:00:00,96.1425
2008-01-09 15:00:00,96.2275
2008-01-10 15:00:00,96.2975
2008-01-11 15:00:00,96.4875
2008-01-14 15:00:00,96.5325
2008-01-15 15:00:00,96.4925
2008-01-16 15:00:00,96.4825
2008-01-17 15:00:00,96.5125
2008-01-18 15:00:00,96.5725
2008-01-22 15:00:00,97.0275
2008-01-23 15:00:00,97.1375
2008-01-24 15:00:00,96.9425
2008-01-25 15:00:00,96.9825
2008-01-28 15:00:00,97.0575
2008-01-29 15:00:00,97.0325
2008-01-30 15:00:00,97.1075
2008-01-31 15:00:00,97.1575
2008-02-01 15:00:00,97.0825
2008-02-04 15:00:00,97.0675
2008-02-05 15:00:00,97.1425
2008-02-06 15:00:00,97.1825
2008-02-07 15:00:00,97.1825
2008-02-08 15:00:00,97.2125
2008-02-11 15:00:00,97.2225
2008-02-12 15:00:00,97.1975
2008-02-13 15:00:00,97.1825
2008-02-14 15:00:00,97.1625
2008-02-15 15:00:00,97.1725
2008-02-19 15:00:00,97.1325
2008-02-20 15:00:00,97.11
2008-02-21 15:00:00,97.125
2008-02-22 15:00:00,97.0875
2008-02-25 15:00:00,97.0775
2008-02-26 15:00:00,97.0825
2008-02-27 15:00:00,97.1175
2008-02-28 15:00:00,97.1525
2008-02-29 15:00:00,97.2525
2008-03-03 15:00:00,97.23
2008-03-04 15:00:00,97.19
2008-03-05 15:00:00,97.165
2008-03-06 15:00:00,97.1925
2008-03-07 15:00:00,97.3075
2008-03-10 15:00:00,97.3225
2008-03-11 15:00:00,97.1475
2008-03-12 15:00:00,97.2175
2008-03-13 15:00:00,97.3125
2008-03-14 15:00:00,97.5025
2008-03-17 15:00:00,97.6525
2008-03-18 15:00:00,97.4275
2008-03-19 15:00:00,97.4375
2008-03-20 15:00:00,97.3375
2008-03-24 15:00:00,97.2325
2008-03-25 15:00:00,97.2675
2008-03-26 15:00:00,97.2825
2008-03-27 15:00:00,97.2975
2008-03-28 15:00:00,97.3075
2008-03-31 15:00:00,97.3175
2008-04-01 15:00:00,97.2125
2008-04-02 15:00:00,97.1125
2008-04-03 15:00:00,97.1125
2008-04-04 15:00:00,97.2175
2008-04-07 15:00:00,97.1775
2008-04-08 15:00:00,97.1175
2008-04-09 15:00:00,97.1325
2008-04-10 15:00:00,97.0875
2008-04-11 15:00:00,97.1275
2008-04-14 15:00:00,97.0825
2008-04-15 15:00:00,97.0275
2008-04-16 15:00:00,96.8775
2008-04-17 15:00:00,96.7075
2008-04-18 15:00:00,96.6775
2008-04-21 15:00:00,96.7125
