Date,pnl,position
1994/02/28,496764.855,0
1994/03/31,3956549.134,0
1994/04/30,-1231861.42,0
1994/05/31,-1086311.286,0
1994/06/30,-434473.713,0
1994/07/31,-1074393.353,0
1994/08/31,-1967567.301,0
1994/09/30,460858.153,0
1994/10/31,-294121.503,0
1994/11/30,40178.049,0
1994/12/31,-107040.499,0
1995/01/31,-729929.711,0
1995/02/28,3296718.514,0
1995/03/31,221936.665,0
1995/04/30,543718.56,0
1995/05/31,5482813.93,0
1995/06/30,-600093.319,0
1995/07/31,-478672.243,0
1995/08/31,611227.235,0
1995/09/30,-301797.262,0
1995/10/31,-92829.223,0
1995/11/30,2482127.576,0
1995/12/31,459588.894,0
1996/01/31,-1216509.663,0
1996/02/29,-685255.654,0
1996/03/31,3329294.115,0
1996/04/30,1349074.993,0
1996/05/31,-1113972.812,0
1996/06/30,-1234021.723,0
1996/07/31,-841099.497,0
1996/08/31,242995.662,0
1996/09/30,-393753.455,0
1996/10/31,2748775.617,0
1996/11/30,3032023.133,0
1996/12/31,-2002719.202,0
1997/01/31,1245149.676,0
1997/02/28,349689.533,0
1997/03/31,1195629.442,0
1997/04/30,-244708.275,0
1997/05/31,-42511.77,0
1997/08/31,-1081208.209,0
1997/09/30,743059.6307,0
1997/10/31,-1221246.203,0
1997/11/30,722139.1676,0
1997/12/31,-228923.5748,0
1998/01/31,988127.5906,0
1998/02/28,-738505.4768,0
1998/03/31,-447161.22,0
1998/04/30,-2624746.459,0
1998/05/31,-46886.54145,0
1998/06/30,846596.3678,0
1998/07/31,-701196.9501,0
1998/08/31,3760332.953,0
1998/09/30,4118458.69,0
1998/10/31,-1366392.629,0
1998/11/30,212837.6297,0
1998/12/31,-1765961.59,0
1999/01/31,-594570.3037,0
1999/02/28,2044369.052,0
1999/03/31,-986801.0508,0
1999/04/30,111491.1888,0
1999/05/31,2038322.669,0
1999/06/30,-433340.6868,0
1999/07/31,-319920.7408,0
1999/08/31,-1669909.406,0
1999/09/30,-1201519.76,0
1999/10/31,-929405.9134,0
1999/11/30,-62580.55767,0
1999/12/31,934514.9853,0
2000/01/31,2197029.497,0
2000/02/29,-893751.403,0
2000/03/31,642344.1673,0
2000/04/30,84739.3762,0
2000/05/31,827027.5391,0
2000/06/30,855311.9988,0
2000/07/31,-1328417.881,0
2000/08/31,131743.2229,0
2000/09/30,563120.1979,0
2000/10/31,-434453.3953,0
2000/11/30,-330784.8285,0
2000/12/31,4380288.789,0
2001/01/31,-816080.0927,0
2001/02/28,221476.158,0
2001/03/31,1123796.824,0
2001/04/30,-439373.9844,0
2001/05/31,-937407.8634,0
2001/06/30,-1052548.706,0
2001/07/31,-112271.8081,0
2001/08/31,1782514.587,0
2001/09/30,872131.0037,0
2001/10/31,2034373.667,0
2001/11/30,-2072671.668,0
2001/12/31,28516.17002,0
2002/01/31,-64687.14065,0
2002/02/28,-840711.6574,0
2002/03/31,897925.1699,0
2002/04/30,524896.1738,0
2002/05/31,491674.5898,0
2002/06/30,2823373.023,0
2002/07/31,3129258.83,0
2002/08/31,1495426.957,0
2002/09/30,2308598.077,0
2002/10/31,-2191257.358,0
2002/11/30,-630617.5918,0
2002/12/31,1059190.767,0
2003/01/31,-490185.0312,0
2003/02/28,2832090.521,0
2003/03/31,-2442244.854,0
2003/04/30,258521.4485,0
2003/05/31,4209040.513,0
2003/06/30,-325565.1651,0
2003/07/31,3701251.305,0
2003/08/31,-904977.6509,0
2003/09/30,2158697.523,0
2003/10/31,-1746493.272,0
2003/11/30,-1449762.801,0
2003/12/31,404318.1901,0
2004/01/31,-201910.6334,0
2004/02/29,409766.4892,0
2004/03/31,863019.1093,0
2004/04/30,2635042.41,0
2004/05/31,806908.4885,0
2004/06/30,-510609.8045,0
2004/07/31,548655.2196,0
2004/08/31,1326440.453,0
2004/09/30,-659164.856,0
2004/10/31,-545669.173,0
2004/11/30,592754.899,0
2004/12/31,-2111855.978,0
2005/01/31,-844674.2514,0
2005/02/28,-56905.46817,0
2005/03/31,1161192.367,0
2005/04/30,118896.0902,0
2005/05/31,805396.1135,0
2005/06/30,-1303253.224,0
2005/07/31,455873.6401,0
2005/08/31,1444988.3,0
2005/09/30,-1401550.352,0
2005/10/31,882361.3029,0
2005/11/30,-323736.1113,0
2005/12/31,-552847.9552,0
2006/01/31,-767651.5557,0
2006/02/28,363554.5853,0
2006/03/31,201313.8532,0
2006/04/30,1976816.375,0
2006/05/31,-197833.2333,0
2006/06/30,-1119575.605,0
2006/07/31,-598960.2891,0
2006/08/31,878238.6115,0
2006/09/30,-192533.3034,0
2006/10/31,-1405837.823,0
2006/11/30,768701.1168,0
2006/12/31,-872036.2063,0
2007/01/31,838814.5807,0
2007/02/28,616314.1037,0
2007/03/31,-907369.2794,0
2007/04/30,93306.53521,0
2007/05/31,767083.3203,0
2007/06/30,1156963.655,0
2007/07/31,1776701.272,0
2007/08/31,1389983.73,0
2007/09/30,968642.7403,0
