Date,fncl_4.0_1n_dv01:test,fncl_5.0_1n_dv01:test,fncl_6.0_1n_dv01:test
2007-12-20 15:00:00,5.746689999,5.171284154,2.826993919
2007-12-21 15:00:00,5.784101417,5.366054553,3.307533897
2007-12-24 15:00:00,5.80140149,5.438377421,3.517754008
2007-12-26 15:00:00,5.81952783,5.505782029,3.730491101
2007-12-27 15:00:00,5.808399556,5.445098223,3.522965075
2007-12-28 15:00:00,5.796603426,5.321003093,3.137321651
2007-12-31 15:00:00,5.782043983,5.230795425,2.91656683
2008-01-02 15:00:00,5.767173632,5.077224149,2.590729542
2008-01-03 15:00:00,5.78583611,5.098671194,2.611086073
2008-01-04 15:00:00,5.787601206,5.012143989,2.447062199
2008-01-07 15:00:00,5.760354717,4.894792729,2.280121232
2008-01-08 15:00:00,5.763005719,4.914985444,2.308976131
2008-01-09 15:00:00,5.763318184,4.868068088,2.238428318
2008-01-10 15:00:00,5.837597523,5.097907753,2.550166581
2008-01-11 15:00:00,5.839736138,4.926027922,2.268438603
2008-01-14 15:00:00,5.8335519,4.852956828,2.173103302
2008-01-15 15:00:00,5.777704836,4.640184787,1.95174329
2008-01-16 15:00:00,5.831506665,4.838374139,2.155550695
2008-01-17 15:00:00,5.808272753,4.669977908,1.972116802
2008-01-18 15:00:00,5.851661134,4.765348658,2.058599832
2008-01-22 15:00:00,5.795381357,4.217087225,1.612843416
2008-01-23 15:00:00,5.817723076,4.292047493,1.659588656
2008-01-24 15:00:00,5.946085388,5.074818779,2.410474626
2008-01-25 15:00:00,5.878234234,4.799870577,2.086317795
2008-01-28 15:00:00,5.870744693,4.710907035,1.993126459
2008-01-29 15:00:00,5.89731151,4.878769662,2.171012823
2008-01-30 15:00:00,5.964012679,5.067480157,2.38561822
2008-01-31 15:00:00,5.936968026,4.909713537,2.18869184
