,ed198803,ed198806,ed198809,ed198812,ed198903,ed198906,ed198909,ed198912,ed199003,ed199006,ed199009,ed199012,ed199103,ed199106,ed199109,ed199112,ed199203,ed199206,ed199209,ed199212,ed199303,ed199306,ed199309,ed199312,ed199403,ed199406,ed199409,ed199412,ed199503,ed199506,ed199509,ed199512,ed199603,ed199606,ed199609,ed199612,ed199703,ed199706,ed199709,ed199712,ed199803,ed199806,ed199809,ed199812,ed199903,ed199906,ed199909,ed199912,ed200003,ed200006,ed200009,ed200012,ed200103,ed200106,ed200109,ed200112,ed200203,ed200206,ed200209,ed200212,ed200303,ed200306,ed200309,ed200312,ed200403,ed200406,ed200409,ed200412,ed200503,ed200506,ed200509,ed200512,ed200603,ed200606,ed200609,ed200612,ed200703,ed200706,ed200709,ed200712,ed200803,ed200806,ed200809,ed200812,ed200903,ed200906,ed200909,ed200912,ed201003,ed201006,ed201009,ed201012,ed201103,ed201106,ed201109,ed201112,ed201203,ed201206,ed201209,ed201212,ed201303,ed201306,ed201309,ed201312,ed201403,ed201406,ed201409,ed201412,ed201503,ed201506,ed201509,ed201512,ed201603,ed201606,ed201609,ed201612,ed201703,ed201706,ed201709,ed201712,ed201803,ed201806,ed201809
2008-06-17 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.79,96.44,96.255,96.045,95.815,95.555,95.37,95.21,95.095,94.995,94.965,94.935,94.905,94.86,94.85,94.83,94.805,94.76,94.74,94.71,94.675,94.615,94.59,94.56,94.525,94.475,94.45,94.42,94.38,94.325,94.305,94.28,94.235,94.185,94.165,94.14,94.105,94.065,94.06,94.04,NA
2008-06-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.86,96.515,96.345,96.155,95.945,95.705,95.54,95.39,95.28,95.18,95.14,95.1,95.055,94.995,94.98,94.955,94.935,94.89,94.87,94.835,94.8,94.74,94.715,94.68,94.645,94.59,94.565,94.53,94.49,94.435,94.415,94.385,94.34,94.29,94.27,94.24,94.205,94.165,94.16,94.14,NA
2008-06-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.83,96.47,96.29,96.1,95.89,95.65,95.48,95.33,95.22,95.125,95.09,95.045,95,94.94,94.92,94.895,94.87,94.82,94.8,94.765,94.735,94.675,94.65,94.615,94.585,94.53,94.505,94.47,94.43,94.375,94.355,94.325,94.28,94.23,94.21,94.18,94.15,94.11,94.105,94.085,NA
2008-06-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.885,96.55,96.385,96.195,95.975,95.72,95.54,95.385,95.27,95.17,95.13,95.085,95.045,94.985,94.965,94.94,94.915,94.865,94.845,94.81,94.78,94.72,94.695,94.66,94.63,94.575,94.55,94.515,94.475,94.42,94.4,94.37,94.325,94.275,94.255,94.225,94.19,94.15,94.145,94.125,NA
2008-06-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.845,96.475,96.27,96.05,95.82,95.57,95.4,95.255,95.15,95.06,95.03,95,94.97,94.915,94.9,94.88,94.86,94.81,94.795,94.76,94.73,94.675,94.65,94.615,94.59,94.535,94.51,94.475,94.44,94.385,94.365,94.335,94.295,94.245,94.225,94.195,94.16,94.12,94.115,94.095,NA
2008-06-24 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.895,96.575,96.38,96.165,95.935,95.68,95.505,95.36,95.255,95.155,95.12,95.08,95.045,94.99,94.975,94.95,94.925,94.875,94.86,94.825,94.795,94.74,94.715,94.68,94.65,94.595,94.57,94.535,94.5,94.445,94.425,94.395,94.355,94.305,94.285,94.255,94.22,94.18,94.175,94.155,NA
2008-06-25 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.945,96.625,96.44,96.235,96.005,95.74,95.555,95.395,95.27,95.16,95.11,95.06,95.02,94.96,94.945,94.915,94.89,94.84,94.825,94.79,94.76,94.705,94.68,94.645,94.615,94.56,94.535,94.5,94.465,94.41,94.39,94.36,94.32,94.27,94.25,94.22,94.185,94.145,94.14,94.12,NA
2008-06-26 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.015,96.775,96.62,96.42,96.185,95.91,95.715,95.545,95.41,95.28,95.22,95.165,95.12,95.055,95.035,95,94.97,94.915,94.895,94.855,94.82,94.76,94.735,94.7,94.67,94.615,94.59,94.555,94.52,94.465,94.44,94.41,94.37,94.32,94.3,94.27,94.235,94.195,94.19,94.17,NA
2008-06-27 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.085,96.85,96.68,96.45,96.19,95.905,95.705,95.53,95.395,95.275,95.22,95.165,95.125,95.065,95.05,95.02,94.99,94.935,94.915,94.88,94.85,94.79,94.765,94.73,94.7,94.645,94.62,94.585,94.55,94.495,94.47,94.44,94.4,94.35,94.33,94.3,94.265,94.225,94.22,94.2,NA
2008-06-30 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.07,96.82,96.68,96.47,96.215,95.935,95.745,95.575,95.445,95.33,95.28,95.225,95.185,95.125,95.11,95.08,95.05,94.995,94.975,94.94,94.91,94.85,94.825,94.79,94.76,94.705,94.68,94.645,94.61,94.555,94.53,94.5,94.46,94.41,94.39,94.36,94.325,94.285,94.28,94.26,NA
2008-07-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.055,96.81,96.67,96.465,96.215,95.935,95.74,95.57,95.44,95.325,95.28,95.225,95.185,95.125,95.105,95.07,95.035,94.98,94.96,94.92,94.885,94.825,94.8,94.765,94.735,94.68,94.655,94.62,94.585,94.53,94.505,94.475,94.435,94.385,94.365,94.335,94.3,94.26,94.255,94.235,NA
2008-07-02 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.07,96.845,96.72,96.51,96.255,95.97,95.765,95.585,95.455,95.34,95.295,95.24,95.2,95.135,95.115,95.075,95.04,94.98,94.955,94.915,94.875,94.81,94.78,94.745,94.715,94.655,94.63,94.59,94.555,94.5,94.475,94.445,94.405,94.355,94.335,94.305,94.27,94.23,94.225,94.205,NA
2008-07-03 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.08,96.87,96.765,96.56,96.295,95.99,95.77,95.585,95.45,95.33,95.28,95.225,95.18,95.115,95.09,95.05,95.01,94.945,94.92,94.875,94.835,94.765,94.73,94.695,94.665,94.605,94.58,94.54,94.505,94.45,94.425,94.395,94.355,94.305,94.285,94.255,94.22,94.18,94.175,94.155,NA
2008-07-07 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.09,96.95,96.88,96.675,96.395,96.075,95.835,95.635,95.49,95.36,95.3,95.24,95.195,95.125,95.095,95.05,95.005,94.935,94.905,94.86,94.815,94.74,94.705,94.665,94.635,94.575,94.545,94.505,94.465,94.41,94.385,94.355,94.315,94.265,94.245,94.215,94.18,94.14,94.135,94.115,NA
2008-07-08 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.105,96.975,96.92,96.73,96.46,96.145,95.91,95.72,95.58,95.455,95.405,95.35,95.31,95.24,95.21,95.165,95.12,95.05,95.02,94.975,94.925,94.84,94.795,94.745,94.71,94.645,94.605,94.555,94.515,94.46,94.435,94.405,94.365,94.315,94.295,94.265,94.23,94.19,94.185,94.165,NA
2008-07-09 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.11,96.99,96.965,96.825,96.59,96.285,96.055,95.87,95.73,95.6,95.545,95.49,95.45,95.38,95.35,95.3,95.255,95.185,95.155,95.105,95.055,94.97,94.925,94.875,94.835,94.765,94.72,94.665,94.62,94.56,94.53,94.5,94.455,94.405,94.385,94.355,94.32,94.28,94.275,94.255,NA
2008-07-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.09,96.945,96.93,96.79,96.555,96.26,96.035,95.855,95.73,95.615,95.57,95.52,95.475,95.4,95.365,95.315,95.27,95.195,95.16,95.11,95.055,94.97,94.925,94.875,94.835,94.765,94.72,94.665,94.62,94.56,94.53,94.5,94.455,94.405,94.385,94.355,94.32,94.28,94.275,94.255,NA
2008-07-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.07,96.87,96.82,96.655,96.405,96.095,95.865,95.685,95.56,95.455,95.42,95.38,95.345,95.28,95.25,95.205,95.165,95.095,95.065,95.015,94.965,94.885,94.845,94.8,94.76,94.69,94.645,94.59,94.545,94.485,94.455,94.425,94.38,94.33,94.31,94.28,94.245,94.205,94.2,94.18,NA
2008-07-14 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.105,96.95,96.925,96.76,96.505,96.195,95.965,95.78,95.645,95.53,95.49,95.44,95.395,95.325,95.29,95.24,95.195,95.12,95.085,95.03,94.98,94.9,94.855,94.81,94.77,94.7,94.655,94.6,94.555,94.495,94.465,94.435,94.39,94.34,94.32,94.29,94.255,94.215,94.21,94.19,NA
2008-07-15 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.15,97.035,97.01,96.855,96.595,96.285,96.05,95.855,95.715,95.595,95.545,95.49,95.445,95.375,95.34,95.29,95.245,95.17,95.135,95.08,95.03,94.95,94.905,94.86,94.82,94.75,94.705,94.65,94.605,94.545,94.515,94.485,94.44,94.39,94.37,94.34,94.305,94.265,94.26,94.24,NA
