Date,fncl_4.5_1n_libor_oas:jpmorgan,fncl_5.0_1n_libor_oas:jpmorgan,fncl_5.5_1n_libor_oas:jpmorgan,fncl_6.0_1n_libor_oas:jpmorgan,fncl_6.5_1n_libor_oas:jpmorgan,fncl_7.0_1n_libor_oas:jpmorgan,fncl_7.5_1n_libor_oas:jpmorgan,fncl_8.0_1n_libor_oas:jpmorgan,fncl_8.5_1n_libor_oas:jpmorgan
2007-01-10 15:00:00,6.7,-9.6,-9.3,-12.8,-2.4,7.1,64.5,64.4,17.1
2007-01-11 15:00:00,6.1,-9.5,-9.4,-12.5,-2.9,7.3,62.7,62,15.1
2007-01-12 15:00:00,5.3,-10,-9.9,-13.2,-4,7.1,61.6,60.8,13.9
2007-01-16 15:00:00,7.2,-8.4,-8.3,-12.3,-3,8.6,63.4,69,86.7
2007-01-17 15:00:00,8.1,-8.2,-8,-11.6,-3,8.5,61.6,67,85.6
2007-01-18 15:00:00,7.5,-7.7,-7.3,-11.1,-1.8,10.5,64.4,69.7,88.7
2007-01-19 15:00:00,7.4,-8.4,-8.2,-11.4,-2.2,10.4,62.9,68.5,87.5
2007-01-22 15:00:00,8.2,-7.6,-7.8,-11.2,-1.6,10.9,64.4,69.9,89.3
2007-01-23 15:00:00,1,-10,-5.3,-4.3,11.4,36.1,103.4,122.8,155.3
2007-01-24 15:00:00,9.6,-5.9,-5.6,-8.2,0.7,13.8,64.9,71.6,89.9
2007-01-25 15:00:00,12.3,-4.6,-4.9,-7.9,-0.5,12.5,62.9,69.3,89.7
2007-01-26 15:00:00,10.5,-4.5,-5,-8.1,-1.1,11.5,62.3,66.6,94.4
2007-01-29 15:00:00,9.5,-4.8,-4.8,-7.6,-0.9,11.7,61.5,66.1,93.6
2007-01-30 15:00:00,8.2,-5.5,-4.5,-6.8,0.6,13,63.1,67.6,95.5
2007-01-31 15:00:00,6.3,-6.8,-5.3,-7.3,0.7,13.7,64.9,70.5,98.9
2007-02-01 15:00:00,6.9,-6.3,-5,-6.3,2.4,15,65.7,69.6,97.8
2007-02-02 15:00:00,5.9,-6.8,-5.4,-6.8,2.5,15.4,67.7,71.5,99.9
2007-02-05 15:00:00,5.1,-7.5,-6.4,-8.4,1.8,14.3,69.5,72.9,102
2007-02-06 15:00:00,5,-7.9,-7.3,-9.5,1,14,71.5,74.8,104.5
2007-02-07 15:00:00,6.1,-6.6,-6.1,-8.6,1.9,13.9,72.8,76.2,106.2
2007-02-08 15:00:00,6.5,-6.2,-5.4,-8.2,1,12.1,73.3,76.6,106.9
2007-02-09 15:00:00,6.5,-6.6,-5.6,-7.8,0.7,12.2,68.9,74.1,103.6
2007-02-12 15:00:00,8.2,-5.1,-4.2,-6.2,2.1,13.6,68.3,73.9,103.1
2007-02-13 15:00:00,8.3,-4.5,-3.7,-5.8,2.9,14.3,68.6,74.3,103.4
2007-02-14 15:00:00,5.1,-6.9,-5.8,-8.1,2.2,13.7,72.3,79,109.7
2007-02-15 15:00:00,5.2,-6.7,-5.4,-7.8,3.2,14.2,73.6,81.6,112.6
2007-02-16 15:00:00,6.1,-6.5,-5.6,-8.3,2.4,14.6,73.5,81.7,112.8
2007-02-20 15:00:00,5.7,-6.7,-6.1,-8.8,2.4,14.5,74.8,83.2,114.7
2007-02-21 15:00:00,4.4,-7.1,-6.2,-8.7,2.3,14.2,74.1,82.4,113.8
2007-02-22 15:00:00,4.3,-7,-5.9,-7.9,2.4,14.5,72.1,80.7,111.6
2007-02-23 15:00:00,3.9,-7.6,-6.5,-8.2,3.3,13.4,74.9,83.6,115.1
2007-02-26 15:00:00,4.2,-7.1,-5.6,-7.4,4.8,15.5,78.2,87,119.1
2007-02-27 15:00:00,4.8,-6.7,-5.2,-7.1,6.8,18.6,86.7,96.2,129.6
2007-02-28 15:00:00,5.2,-6,-4.7,-7,3.6,15.5,83.8,95,128.3
2007-03-01 15:00:00,6.8,-5.3,-4.3,-6.4,6,17,81.6,94.8,127.6
2007-03-02 15:00:00,5.9,-6.1,-5.6,-8.1,4.1,15.7,78,97.1,130.4
2007-03-05 15:00:00,7,-5,-4.8,-7.3,4.7,14.8,78.6,97.8,131.1
2007-03-06 15:00:00,7.2,-4.4,-3.8,-6.4,5.3,15.7,79.5,98.4,131.7
2007-03-07 15:00:00,6.5,-4.9,-3.9,-6.4,5.8,7.2,74.7,101.2,135.1
2007-03-08 15:00:00,5.5,-5.6,-5,-7.6,5.2,11.8,76.4,100.7,136.9
2007-03-09 15:00:00,4.2,-6.4,-5.5,-7.8,4.3,6.5,72.7,94.6,129.8
2007-03-12 15:00:00,4.1,-5.9,-5.1,-7.3,4.7,5.5,75.4,97.4,133.1
2007-03-13 15:00:00,3.8,-6.1,-5.4,-8,5.1,4.9,80.6,103.1,139.8
2007-03-14 15:00:00,4,-6,-5.2,-8.2,4.6,7.7,79.8,102.5,139
2007-03-15 15:00:00,4.8,-4.8,-4,-7,5.4,9.6,79.5,102,138.3
2007-03-16 15:00:00,5.3,-4.4,-3.7,-6.5,5,9.2,78.8,101.3,137.4
2007-03-19 15:00:00,4.7,-5.1,-4.6,-7.4,4.3,8.3,77.6,100,136.1
2007-03-20 15:00:00,4.4,-5.3,-4.9,-7.7,4,8.6,79.3,101.8,138.4
2007-03-21 15:00:00,5,-4.6,-4.2,-7.7,4.1,10,84.1,107,144.3
2007-03-22 15:00:00,3.4,-6.1,-5,-7.7,3.2,8.3,80,103.1,139.6
2007-03-23 15:00:00,3.2,-6.5,-5.4,-7.6,3.6,8.2,78.2,101.4,137.7
2007-03-26 15:00:00,2.6,-6.4,-4.9,-6.8,4.8,8.6,76.1,97.5,140.1
2007-03-27 15:00:00,4.2,-5.3,-3.6,-5.4,5.4,10.1,76.3,97.9,140.3
2007-03-28 15:00:00,3.9,-4.9,-2.9,-4.4,6.1,10.8,77.2,99,141.2
2007-03-29 15:00:00,4.2,-4.7,-2.7,-3.9,6.4,10.9,76.3,98.1,140.1
2007-03-30 15:00:00,3.9,-4.1,-2.2,-3.1,4.3,9.6,75.5,100.1,141.7
2007-04-02 15:00:00,5.5,-3,-1.8,-2.4,7.7,10.4,77,98.9,140
2007-04-03 15:00:00,3.8,-5.8,-3.4,-4.1,6.1,8.8,75.1,97.1,138.1
2007-04-04 15:00:00,2.9,-7.2,-3.1,-3.4,6.6,10.3,76.4,98.6,139.6
2007-04-05 15:00:00,2.5,-7.3,-3.3,-3.3,6.9,10.7,75.7,97.9,138.9
2007-04-06 15:00:00,2.7,-7.3,-3.5,-3.6,5.6,8.9,70.3,92.5,132.3
2007-04-09 15:00:00,4.2,-5.3,-2.7,-2.7,7.5,15,71.6,94.2,134.2
2007-04-10 15:00:00,3.8,-5,-2.6,-2.6,7.9,14.7,73.6,96.3,136.6
2007-04-11 15:00:00,3.6,-4.8,-2.6,-2.6,8.2,14.6,73.1,95.9,136.1
2007-04-12 15:00:00,4.9,-3.3,-1.1,-1,9.7,16.4,74,96.7,136.7
2007-04-13 15:00:00,5.1,-3.1,-0.7,-0.4,10,16.7,72.9,95.6,135.3
2007-04-16 15:00:00,6.1,-2.4,0,-0.2,10.3,17.3,75,97.6,137.8
2007-04-17 15:00:00,5.7,-3.4,0.4,0,10.9,17.6,79.2,102.1,143
2007-04-18 15:00:00,4.4,-4.7,0.1,-0.4,10.3,17.2,81.9,105,146.4
2007-04-19 15:00:00,4.6,-4,-0.3,-1,9.7,16.5,81.7,104.9,146.3
2007-04-20 15:00:00,4,-4.1,-0.3,-1.1,8.6,15.5,81.9,104.8,146.3
2007-04-23 15:00:00,4.4,-3.3,0.3,-0.5,8.7,16,84,107.1,148.7
2007-04-24 15:00:00,5.2,-2.2,0.9,-0.4,8.7,16.8,86.2,109.7,151.8
2007-04-25 15:00:00,4.7,-2.8,0.6,-0.4,9,15.5,84.5,108.2,149.9
2007-04-26 15:00:00,4.8,-3,0.2,-0.8,7.9,13.2,81.5,105.3,146.5
2007-04-27 15:00:00,5.1,-2.6,0.7,-0.1,8.7,14.6,82.2,105.2,146.1
2007-04-30 15:00:00,4.1,-2,1.2,0.4,6.3,14.2,85.7,111.8,154
2007-05-01 15:00:00,5.3,-2.7,0.8,0.4,9.7,14.7,85.9,108.5,150.2
2007-05-02 15:00:00,5,-3.2,0.5,0.4,10.9,15.4,87,108.6,150.4
2007-05-03 15:00:00,5.3,-3,1,1,11.7,16.4,86.3,107,148.4
