Date, tu.1c_pvbp:internal ,fv.1c_pvbp:internal,ty.1c_pvbp:internal,us.1c_pvbp:internal
2007-01-24, 1.8393 , 4.0762 ,6.2505, 11.11 
2007-01-25, 1.8462 , 4.0637 ,6.2229, 11.04 
2007-01-26, 1.8263 , 4.0535 ,6.2104, 11.01 
2007-01-29, 1.8227 , 4.0480 ,6.2014, 10.98 
2007-01-30, 1.8300 , 4.0475 ,6.2053, 11.00 
2007-01-31, 1.8190 , 4.0522 ,6.2233, 11.07 
2007-02-01, 1.8171 , 4.0455 ,6.2144, 11.06 
2007-02-02, 1.8080 , 4.0406 ,6.21, 11.06 
2007-02-05, 1.8094 , 4.0414 ,6.2151, 11.09 
2007-02-06, 1.8058 , 4.0459 ,6.2308, 11.14 
2007-02-07, 1.8028 , 4.0482 ,6.2407, 11.17 
2007-02-08, 1.7996 , 4.0453 ,6.2376, 11.18 
2007-02-09, 1.7903 , 4.0279 ,6.2062, 11.09 
2007-02-12, 1.8027 , 4.0212 ,6.1938, 11.06 
2007-02-13, 1.7925 , 4.0162 ,6.1873, 11.04 
2007-02-14, 1.7914 , 4.0303 ,6.2216, 11.15 
2007-02-15, 1.7872 , 4.0334 ,6.2315, 11.19 
2007-02-16, 1.7791 , 4.0233 ,6.225, 11.20 
2007-02-20, 1.7716 , 4.0228 ,6.2266, 11.21 
2007-02-21, 1.7654 , 4.0168 ,6.2177, 11.19 
2007-02-22, 1.7739 , 4.0067 ,6.1972, 11.13 
2007-02-23, 1.7550 , 4.0083 ,6.2124, 11.19 
2007-02-26, 1.7534 , 4.0134 ,6.2302, 11.27 
2007-02-27, 1.7571 , 4.0377 ,6.2817, 11.43 
2007-02-28, 2.0218 , 4.3139 ,6.5766, 11.52 
2007-03-01, 2.0175 , 4.3102 ,6.5754, 11.50 
2007-03-02, 2.0105 , 4.3126 ,6.5867, 11.55 
2007-03-05, 2.0093 , 4.3050 ,6.5795, 11.54 
2007-03-06, 2.0031 , 4.2985 ,6.5704, 11.54 
2007-03-07, 1.9999 , 4.3026 ,6.582, 11.57 
2007-03-08, 1.9958 , 4.2986 ,6.5764, 11.55 
2007-03-09, 1.9828 , 4.2702 ,6.5252, 11.43 
2007-03-12, 1.9831 , 4.2768 ,6.543, 11.47 
2007-03-13, 1.9853 , 4.2922 ,6.5728, 11.53 
2007-03-14, 1.9804 , 4.2844 ,6.5575, 11.48 
2007-03-15, 1.9757 , 4.2767 ,6.5482, 11.47 
2007-03-16, 1.9665 , 4.2659 ,6.5339, 11.45 
