Date,fncl_cc_30d_yield:internal
2007-10-15 15:00:00,5.908912892
2007-10-16 15:00:00,5.902722193
2007-10-17 15:00:00,5.833319794
2007-10-18 15:00:00,5.786309377
2007-10-19 15:00:00,5.720798558
2007-10-22 15:00:00,5.719950974
2007-10-23 15:00:00,5.704086781
2007-10-24 15:00:00,5.62238484
2007-10-25 15:00:00,5.637100539
2007-10-26 15:00:00,5.686197208
2007-10-29 15:00:00,5.673404412
2007-10-30 15:00:00,5.676646907
2007-10-31 15:00:00,5.753540217
2007-11-01 15:00:00,5.693400608
2007-11-02 15:00:00,5.657647314
2007-11-05 15:00:00,5.744744883
2007-11-06 15:00:00,5.796260988
2007-11-07 15:00:00,5.80681307
2007-11-08 15:00:00,5.790337711
2007-11-09 15:00:00,5.744368266
2007-11-13 15:00:00,5.763838104
2007-11-14 15:00:00,5.745023004
2007-11-15 15:00:00,5.675542095
2007-11-16 15:00:00,5.706157755
2007-11-19 15:00:00,5.675039373
2007-11-20 15:00:00,5.737339514
2007-11-21 15:00:00,5.66468493
2007-11-23 15:00:00,5.600503538
2007-11-26 15:00:00,5.441520219
2007-11-27 15:00:00,5.559871569
2007-11-28 15:00:00,5.525575826
2007-11-29 15:00:00,5.443278142
2007-11-30 15:00:00,5.377572179
2007-12-03 15:00:00,5.331755289
2007-12-04 15:00:00,5.333200319
2007-12-05 15:00:00,5.339860655
2007-12-06 15:00:00,5.446593703
2007-12-07 15:00:00,5.620413156
2007-12-10 15:00:00,5.65941269
2007-12-11 15:00:00,5.491443108
2007-12-12 15:00:00,5.533002336
2007-12-13 15:00:00,5.605393506
2007-12-14 15:00:00,5.685761674
2007-12-17 15:00:00,5.672279051
2007-12-18 15:00:00,5.55521718
2007-12-19 15:00:00,5.486522524
2007-12-20 15:00:00,5.472942813
2007-12-21 15:00:00,5.61825328
2007-12-24 15:00:00,5.676577683
2007-12-26 15:00:00,5.734156286
2007-12-27 15:00:00,5.668160277
2007-12-28 15:00:00,5.530203786
2007-12-31 15:00:00,5.458986493
2008-01-02 15:00:00,5.333495513
2008-01-03 15:00:00,5.314967317
2008-01-04 15:00:00,5.230770691
2008-01-07 15:00:00,5.182498648
2008-01-08 15:00:00,5.194598771
2008-01-09 15:00:00,5.153891684
2008-01-10 15:00:00,5.236305048
2008-01-11 15:00:00,5.120820455
2008-01-14 15:00:00,5.080340667
2008-01-15 15:00:00,4.989323088
2008-01-16 15:00:00,5.072910073
2008-01-17 15:00:00,4.991049393
2008-01-18 15:00:00,5.021952192
2008-01-22 15:00:00,4.77815298
2008-01-23 15:00:00,4.803631904
2008-01-24 15:00:00,5.154115159
2008-01-25 15:00:00,5.028094917
2008-01-28 15:00:00,4.984075787
2008-01-29 15:00:00,5.062700647
2008-01-30 15:00:00,5.139386322
2008-01-31 15:00:00,5.06039364
