,zScore,residual,sd,r2Adj,r2,alpha.pVal,beta.pVal,alpha,beta,slope,hedgeY,hedgeX,dailyTri,tri,alpha.factorRank,beta.factorRank
2003-06-13,-0.349476051,-0.006249589,0.01788274,0.621703536,0.663736476,0.026938076,0.004097241,10.49513985,-2.238381587,-1.62E-05,1,0.007279376,-0.04268774,0.578226708,1,7
2003-06-16,0.592214896,0.010498314,0.017727203,0.430604529,0.493870693,0.193944434,0.023414718,5.091872517,-1.454694823,-9.97E-06,1,0.004486252,0.101692862,0.67991957,1,10
2003-06-17,-1.091121956,-0.010140703,0.009293831,0.49062771,0.547224632,0.660893203,0.014457075,0.849552415,-0.840490423,-5.79E-06,1,0.002605937,-0.047032939,0.632886631,1,10
2003-06-18,-2.032996721,-0.030433785,0.014969913,0.463311882,0.522943895,0.26816537,0.018109187,3.330609761,-1.20064617,-8.21E-06,1,0.003694533,-0.099231981,0.53365465,1,8
2003-06-19,-0.200289186,-0.002695304,0.01345706,0.476865909,0.53499192,0.30967861,0.016215185,2.760416875,-1.118382105,-7.89E-06,1,0.003551233,0.085079166,0.618733816,1,5
2003-06-20,-0.972453845,-0.013965319,0.014360907,0.40364855,0.469909822,0.400596621,0.028670076,2.481854528,-1.07832145,-7.58E-06,1,0.003409972,-0.060354043,0.558379773,1,5
2003-06-23,-0.248373157,-0.00348867,0.014046084,0.429508604,0.492896537,0.288611548,0.023611957,3.414967009,-1.213364242,-8.81E-06,1,0.003963008,0.055466631,0.613846404,1,1
2003-06-24,-0.055824333,-0.000784255,0.014048617,0.429302886,0.492713676,0.300703716,0.023649129,3.266712429,-1.191918307,-8.61E-06,1,0.003875303,0.000410585,0.614256988,1,2
2003-06-25,-0.443237853,-0.005741849,0.012954329,0.514746782,0.568663807,0.310508003,0.011742896,2.48214829,-1.078645902,-7.90E-06,1,0.003553827,-0.039169129,0.575087859,1,1
2003-06-26,0.417034625,0.005404458,0.012959256,0.547255637,0.597560566,0.249063873,0.008738966,2.798992281,-1.124550187,-8.06E-06,1,0.003624974,0.039258163,0.614346023,1,4
2003-06-27,-0.242942022,-0.003064121,0.012612559,0.571155957,0.618805295,0.28284252,0.006944891,2.329550849,-1.056722393,-7.71E-06,1,0.003469084,-0.0428724,0.571473623,1,2
2003-06-30,-0.555975119,-0.005506489,0.009904201,0.749497403,0.777331025,0.052359907,0.000742001,3.753928758,-1.263612052,-9.26E-06,1,0.00416576,-0.00196623,0.569507393,1,1
2003-07-01,2.375955387,0.041086456,0.017292604,0.531175063,0.583266723,0.088871634,0.010137624,6.802012256,-1.705299757,-1.23E-05,1,0.005548152,0.169791282,0.739298675,1,5
2003-07-02,1.081569528,0.019519265,0.018047166,-0.007291634,0.104629659,0.993951417,0.361922075,-0.039689454,-0.711948746,-5.06E-06,1,0.002276352,-0.029759171,0.709539504,1,8
2003-07-03,0.602512554,0.010970688,0.018208232,-0.083436525,0.036945311,0.762295517,0.594729873,-1.784682942,-0.458407169,-3.31E-06,1,0.001490346,-0.031652065,0.67788744,1,7
2003-07-07,-0.275870211,-0.003702399,0.013420802,-0.010032393,0.102193429,0.040854783,0.367894396,-8.121519681,0.461729079,3.32E-06,1,-0.001494944,0.027812923,0.705700362,1,10
2003-07-08,-0.752689004,-0.010612176,0.014099019,-0.114695245,0.009159782,0.072203461,0.792548646,-5.686282732,0.108340309,7.71E-07,1,-0.000347119,-0.055667213,0.65003315,1,10
2003-07-09,-0.574043905,-0.008129946,0.014162585,-0.124769214,0.000205144,0.096873395,0.96867523,-4.835137786,-0.015107572,-1.08E-07,1,4.86E-05,0.000358466,0.650391616,1,8
2003-07-10,-0.6020278,-0.008487719,0.01409855,-0.114621063,0.009225722,0.168580814,0.791816985,-4.184740031,-0.109395298,-7.92E-07,1,0.000356526,-0.002559596,0.64783202,1,6
2003-07-11,1.117868936,0.016928433,0.015143487,-0.123872641,0.001002097,0.1497095,0.930822051,-4.673805644,-0.038083952,-2.74E-07,1,0.000123235,0.089180463,0.737012483,1,7
2003-07-14,0.949065289,0.014652258,0.01543862,-0.121016848,0.003540579,0.205976118,0.870297565,-4.395389354,-0.078005559,-5.59E-07,1,0.00025155,-0.001369635,0.735642848,1,8
2003-07-15,0.901844444,0.012992937,0.014407071,-0.017256623,0.09577189,0.713511704,0.384227352,-1.442027432,-0.505321064,-3.64E-06,1,0.001637863,-0.002450415,0.733192433,1,6
2003-07-16,0.966033024,0.012457701,0.01289573,-0.124994518,4.87E-06,0.266393106,0.995171405,-4.906712292,-0.003712979,-2.69E-08,1,1.21E-05,-0.011522387,0.721670046,1,4
2003-07-17,0.521771293,0.006931244,0.013284065,-0.083959941,0.036480052,0.406163202,0.59710384,-3.02941504,-0.275411528,-2.03E-06,1,0.000915198,-0.002196064,0.719473982,1,1
2003-07-18,0.581820388,0.007794976,0.013397565,-0.03428326,0.080637102,0.661977179,0.42653578,-1.732374938,-0.463016445,-3.38E-06,1,0.001519348,0.002809094,0.722283076,1,3
2003-07-21,0.047868782,0.000641285,0.013396721,0.00328874,0.114034436,0.617846404,0.33993324,-1.667531999,-0.472383908,-3.52E-06,1,0.001584375,-0.021014632,0.701268445,1,1
2003-07-22,-1.854202418,-0.031763081,0.01713032,-0.122256256,0.002438883,0.25810353,0.892233287,-5.569378374,0.092708153,6.78E-07,1,-0.000305083,-0.124164269,0.577104175,1,3
2003-07-23,-1.54080181,-0.029003089,0.018823374,-0.046965751,0.069363777,0.130021335,0.462204356,-9.091804868,0.603071629,4.40E-06,1,-0.00197811,-0.002184516,0.574919659,1,4
2003-07-24,-1.054370681,-0.020938454,0.019858722,0.040228309,0.146869608,0.068414657,0.274326237,-11.1477251,0.900951189,6.56E-06,1,-0.00295237,0.01249976,0.587419419,1,2
2003-07-25,-1.254219179,-0.028427613,0.022665586,-0.093974786,0.027577968,0.230455088,0.646583844,-7.798376445,0.414824606,2.99E-06,1,-0.001346154,-0.054535438,0.532883981,1,8
2003-07-28,-1.414861951,-0.037491939,0.026498655,-0.102169379,0.020293885,0.832605059,0.694623598,-1.725835778,-0.466404019,-3.33E-06,1,0.001497828,-0.065770594,0.467113387,1,8
2003-07-29,-1.056950662,-0.027282785,0.025812732,-0.00229638,0.109069885,0.684110708,0.351335702,3.679577431,-1.251059414,-8.97E-06,1,0.004035237,0.013402646,0.480516033,1,6
2003-07-30,1.121195965,0.027104993,0.024175072,0.120848407,0.218531917,0.389363017,0.173094583,7.690943085,-1.832867886,-1.32E-05,1,0.005934201,0.167702237,0.64821827,1,4
2003-07-31,1.1689929,0.030236098,0.025865083,-0.006365991,0.105452453,0.657821776,0.359931676,4.452098134,-1.3630314,-9.75E-06,1,0.004386708,0.013999574,0.662217844,1,7
2003-08-01,1.226575462,0.031612205,0.025772735,0.270641843,0.351681638,0.163757533,0.070765082,13.7896411,-2.717030401,-2.01E-05,1,0.00906456,0.040319595,0.702537439,1,2
2003-08-04,1.377488853,0.042269611,0.030685991,0.27917599,0.359267547,0.128701958,0.067038795,19.75103596,-3.580752865,-2.65E-05,1,0.011944528,0.048829862,0.751367301,1,3
2003-08-05,-0.134737544,-0.004013814,0.029789868,0.505058845,0.560052307,0.036844873,0.012779637,17.89499076,-3.311337256,-2.65E-05,1,0.011932063,-0.207300755,0.544066546,1,1
2003-08-06,0.013993751,0.000402299,0.028748452,0.602243028,0.646438247,0.017515377,0.005057198,17.45539614,-3.247224352,-2.58E-05,1,0.011629965,0.06587887,0.609945416,1,2
2003-08-07,0.623849316,0.014723021,0.023600284,0.742236185,0.770876609,0.003314775,0.000834515,19.09786248,-3.484560087,-2.71E-05,1,0.012213626,0.107186783,0.717132199,1,3
2003-08-08,0.964835553,0.024278647,0.025163508,0.689892116,0.724348547,0.006027493,0.001790263,20.55216587,-3.695373357,-2.84E-05,1,0.012783822,0.03634302,0.75347522,1,4
2003-08-11,0.721485989,0.017431011,0.024159875,0.544445039,0.595062257,0.029321514,0.008971761,16.61251941,-3.122688038,-2.38E-05,1,0.010702791,-0.004446266,0.749028954,1,6
2003-08-12,0.985334736,0.01294587,0.01313855,0.609513285,0.652900698,0.041576419,0.004680102,8.13920424,-1.891112192,-1.41E-05,1,0.0063618,0.047513443,0.796542396,1,10
2003-08-13,-0.225640411,-0.002414536,0.010700812,0.625924002,0.667488002,0.052177585,0.003909186,6.435706112,-1.643457422,-1.26E-05,1,0.005650313,-0.035796873,0.760745524,1,8
2003-08-14,0.06556336,0.000470005,0.007168716,0.666106047,0.703205375,0.115387499,0.002433163,3.33018802,-1.192120624,-9.02E-06,1,0.004060046,0.014306578,0.775052102,1,10
2003-08-15,-0.121692548,-0.000679984,0.005587724,0.797140354,0.819680314,0.041418439,0.000312641,3.285817748,-1.185494024,-8.98E-06,1,0.004041471,0.00512813,0.780180232,1,10
2003-08-18,1.068831615,0.006652658,0.006224234,0.773777794,0.798913595,0.115789,0.000488333,2.222180787,-1.031008412,-7.68E-06,1,0.00345748,0.031463868,0.811644099,1,10
2003-08-19,0.995347095,0.00672438,0.006755814,0.707263934,0.739790164,0.2615681,0.001410218,1.656500393,-0.94876697,-7.05E-06,1,0.003173172,0.012095339,0.823739438,1,10
2003-08-20,0.547529966,0.003786418,0.006915454,0.617962791,0.66041137,0.405123522,0.004269725,1.400773556,-0.91160421,-6.81E-06,1,0.003064117,-0.0144557,0.809283739,1,9
2003-08-21,-2.085191511,-0.026182645,0.01255647,0.440091146,0.502303241,0.24347085,0.021762148,3.893632896,-1.273491406,-9.38E-06,1,0.004221766,-0.125134988,0.684148751,1,10
2003-08-22,-1.954780097,-0.034389603,0.017592569,0.083862477,0.185655535,0.697026582,0.213812915,2.088964895,-1.012673686,-7.60E-06,1,0.003419592,-0.046098779,0.638049972,1,6
2003-08-25,-1.429920375,-0.029264835,0.020466059,-0.077217098,0.042473691,0.9492455,0.567840089,-0.487100581,-0.640055608,-4.78E-06,1,0.002148882,0.00210651,0.640156482,1,6
2003-08-26,-1.076874821,-0.023697499,0.022005807,-0.089726255,0.03135444,0.931051326,0.624573528,-0.732762872,-0.605000511,-4.48E-06,1,0.002013793,0.001870988,0.64202747,1,6
2003-08-27,-0.894418527,-0.020410797,0.022820186,-0.124999721,2.48E-07,0.675376454,0.998909732,-4.897375595,-0.002301074,-1.70E-08,1,7.63E-06,-0.001594241,0.640433229,1,6
2003-08-28,-0.795476193,-0.017752538,0.02231687,-0.120751631,0.003776328,0.564477507,0.866080595,-6.92343555,0.29049813,2.12E-06,1,-0.000955359,-0.001956015,0.638477214,1,9
2003-08-29,-1.149334193,-0.025750433,0.022404653,-0.124331537,0.000594189,0.620708097,0.946709177,-5.684590147,0.110281881,7.97E-07,1,-0.000358669,-0.058101833,0.580375382,1,10
2003-09-02,-0.330515225,-0.006583233,0.019918092,-0.039154495,0.076307115,0.930704412,0.439767924,-0.489914109,-0.642349183,-4.49E-06,1,0.00202141,-0.007135049,0.573240332,1,10
2003-09-03,-1.642238581,-0.043179358,0.026292987,0.46907065,0.5280628,0.072654735,0.017284049,11.03259786,-2.311234062,-1.53E-05,1,0.006877977,-0.254827169,0.318413164,1,10
2003-09-04,-1.018856588,-0.024437686,0.023985403,0.674484184,0.710652608,0.012022827,0.002189253,13.34182413,-2.646349884,-1.71E-05,1,0.007716242,0.005762215,0.324175378,1,10
2003-09-05,-1.227884033,-0.032850649,0.026753869,0.686743959,0.721550185,0.00903889,0.001866815,15.05746534,-2.895194141,-1.90E-05,1,0.008567987,-0.050938488,0.27323689,1,7
2003-09-08,0.72454085,0.019998795,0.027602026,0.663997028,0.701330692,0.012516017,0.002497739,14.12024465,-2.759209279,-1.76E-05,1,0.007904209,0.157334735,0.430571625,1,10
2003-09-09,-0.085377843,-0.002322284,0.027200076,0.65344633,0.691952294,0.012628995,0.002840933,15.32401251,-2.932958081,-1.93E-05,1,0.008662713,-0.05402789,0.376543735,1,7
2003-09-10,-1.140338148,-0.034177804,0.029971639,0.523992243,0.576881994,0.038611239,0.010816627,14.83870354,-2.863314461,-1.96E-05,1,0.008836551,-0.091952326,0.284591409,1,4
2003-09-11,-0.556941319,-0.017054499,0.030621716,0.384850543,0.453200483,0.089909046,0.032871269,14.90736327,-2.873459856,-1.93E-05,1,0.008670136,0.026416854,0.311008263,1,4
2003-09-12,-0.229884166,-0.006839303,0.029751082,0.15411234,0.248099858,0.304513008,0.142876867,10.40372882,-2.223803303,-1.47E-05,1,0.006627313,0.004821834,0.315830097,1,4
2003-09-15,-0.088915078,-0.00238077,0.026775776,-0.073742889,0.045561877,0.91069691,0.553771935,1.154534253,-0.889539873,-5.89E-06,1,0.002649122,-0.02704491,0.288785187,1,2
