,1,2,3,4,5,6,7,8,9,10,11,12,13
95,20064.11847,15348.894,15136.80738,-451.1905195,-14439.19111,6513.012156,-10506.10587,-8805.048701,21428.33468,0,0,0,0
96,21428.33468,9330.043629,0,0,0,0,0,0,0,0,0,0,0
97,9330.043629,-59264.96091,0,0,0,0,0,0,0,0,0,0,0
98,-1460,12206.44619,0,0,0,0,0,0,0,0,0,0,0
99,12206.44619,9782.763674,-25401.7516,16260.02381,0,0,0,0,0,0,0,0,0
100,16260.02381,583.8853043,4050.526615,-4397.973096,-292.4047662,714.934575,5548.044545,486.8864343,-24929.07785,6489.460129,-206.4707889,0,0
101,-1314,4252.065502,-16770.19008,11954.67692,0,0,0,0,0,0,0,0,0
102,11954.67692,9893.522614,0,0,0,0,0,0,0,0,0,0,0
103,9893.522614,6129.752944,7863.640442,0,0,0,0,0,0,0,0,0,0
104,7863.640442,23200.66349,0,0,0,0,0,0,0,0,0,0,0
105,23200.66349,11868.05002,6195.44583,0,0,0,0,0,0,0,0,0,0
106,6195.44583,-10490.62779,16901.63176,4110.457045,-7266.709001,3533.735628,8342.532385,12608.68756,0,0,0,0,0
107,12608.68756,12240.88177,0,0,0,0,0,0,0,0,0,0,0
108,12240.88177,-5831.283754,4677.062965,1611.872996,15142.32586,0,0,0,0,0,0,0,0
109,15142.32586,19289.25158,0,0,0,0,0,0,0,0,0,0,0
110,19289.25158,4761.029555,-3638.677867,-4137.091033,-9696.841589,-90.18187277,-6143.78902,-22052.03453,0,0,0,0,0
111,-2190,17220.19276,-46110.20076,0,0,0,0,0,0,0,0,0,0
112,-2190,2052.230577,-25331.35766,107.6136047,-27045.63421,0,0,0,0,0,0,0,0
113,-2482,-10685.99708,16580.77403,-11295.2141,-628.8841649,-16927.02834,0,0,0,0,0,0,0
114,-2920,-4479.676232,-10319.66923,7586.066742,-12670.47838,11333.77544,0,0,0,0,0,0,0
115,11333.77544,4641.316506,15908.33058,0,0,0,0,0,0,0,0,0,0
116,15908.33058,-4139.414427,-31520.90322,0,0,0,0,0,0,0,0,0,0
117,-3212,-58365.91523,0,0,0,0,0,0,0,0,0,0,0
118,-2628,14659.34132,0,0,0,0,0,0,0,0,0,0,0
119,14659.34132,-10117.87628,-10121.18689,19455.87891,0,0,0,0,0,0,0,0,0
120,19455.87891,-24626.57416,-2113.82479,11843.4616,13247.00577,7237.756581,14504.60064,0,0,0,0,0,0
121,14504.60064,-9503.905279,-7555.776136,-1911.560806,-13438.19089,0,0,0,0,0,0,0,0
122,-2044,10181.22941,20498.97127,-19237.65253,-8653.91751,-2905.425373,8858.220417,-3312.094732,7920.236134,0,0,0,0
123,7920.236134,8522.988715,-3349.774085,11831.08039,-1564.940086,-11714.40682,10921.97531,0,0,0,0,0,0
124,10921.97531,28667.55489,0,0,0,0,0,0,0,0,0,0,0
125,28667.55489,27512.72821,0,0,0,0,0,0,0,0,0,0,0
126,27512.72821,11984.17978,0,0,0,0,0,0,0,0,0,0,0
127,11984.17978,-22572.14603,7348.338579,-12006.25011,0,0,0,0,0,0,0,0,0
128,-1898,12275.9523,12831.87922,0,0,0,0,0,0,0,0,0,0
129,12831.87922,17483.06061,12772.01994,0,0,0,0,0,0,0,0,0,0
130,-1752,-3901.605367,24807.04838,0,0,0,0,0,0,0,0,0,0
131,24807.04838,1779.9448,65.6324093,10056.85443,-7752.810097,10109.61605,0,0,0,0,0,0,0
132,10109.61605,-151.6892689,-8198.907662,8990.888195,-602.6875744,-16230.95339,10471.31261,0,0,0,0,0,0
133,10471.31261,786.6582673,34218.6066,0,0,0,0,0,0,0,0,0,0
134,34218.6066,16620.38391,0,0,0,0,0,0,0,0,0,0,0
135,16620.38391,11253.27445,0,0,0,0,0,0,0,0,0,0,0
136,11253.27445,-37496.87115,0,0,0,0,0,0,0,0,0,0,0
137,-1752,9569.92222,0,0,0,0,0,0,0,0,0,0,0
138,9569.92222,-31891.90068,0,0,0,0,0,0,0,0,0,0,0
139,-1606,5104.824219,0,0,0,0,0,0,0,0,0,0,0
140,5104.824219,-38288.63594,0,0,0,0,0,0,0,0,0,0,0
141,-1606,13733.10243,-13258.22345,-14586.11826,-6986.478065,-15030.40508,0,0,0,0,0,0,0
142,-1898,15389.04868,-24122.67339,-27227.70249,0,0,0,0,0,0,0,0,0
143,-1898,-18625.11171,15006.6137,0,0,0,0,0,0,0,0,0,0
