Date,fncl_4.5_1n_spread_duration:jpmorgan,fncl_5.0_1n_spread_duration:jpmorgan,fncl_5.5_1n_spread_duration:jpmorgan,fncl_6.0_1n_spread_duration:jpmorgan,fncl_6.5_1n_spread_duration:jpmorgan,fncl_7.0_1n_spread_duration:jpmorgan,fncl_7.5_1n_spread_duration:jpmorgan,fncl_8.0_1n_spread_duration:jpmorgan,fncl_8.5_1n_spread_duration:jpmorgan
2004-06-01 15:00:00,6.39461,6.16762,5.72464,4.54403,3.84561,3.53581,3.08561,2.46816,2.52685
2004-06-02 15:00:00,6.28142,6.17625,5.7378,4.85867,3.84281,3.53667,3.09077,2.47642,2.53128
2004-06-03 15:00:00,6.28245,6.17821,5.73408,4.8425,3.8193,3.51667,3.07408,2.45958,2.51688
2004-06-04 15:00:00,6.27847,6.18823,5.75878,4.87079,3.84726,3.53437,3.08496,2.46719,2.52058
2004-06-07 15:00:00,6.30172,6.21047,5.7772,4.88116,3.8486,3.53027,3.07931,2.46001,2.51534
2004-06-08 15:00:00,6.25895,6.15302,5.71856,4.86133,3.88931,3.58385,3.14109,2.52306,2.56443
2004-06-09 15:00:00,6.27324,6.17899,5.75888,4.9206,3.95721,3.64075,3.18902,2.56418,2.59616
2004-06-10 15:00:00,6.25941,6.15775,5.7324,4.8918,3.93227,3.62024,3.17288,2.54988,2.58445
2004-06-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-06-14 15:00:00,6.27796,6.19849,5.79659,4.98441,4.04915,3.7184,3.26362,2.6286,2.6409
2004-06-15 15:00:00,6.21139,6.07906,5.61991,4.75534,3.79126,3.50773,3.0885,2.48042,2.53237
2004-06-16 15:00:00,6.23675,6.11853,5.6715,5.02744,3.85373,3.55378,3.12171,2.50634,2.5494
2004-06-17 15:00:00,6.24442,6.11783,5.65605,4.99273,3.8058,3.51087,3.08466,2.47451,2.52325
2004-06-18 15:00:00,6.26057,6.13855,5.67872,5.01245,3.82165,3.52057,3.09046,2.47822,2.52491
2004-06-21 15:00:00,6.27713,6.15802,5.69576,4.80764,3.82794,3.52109,3.08903,2.4738,2.52216
2004-06-22 15:00:00,6.31067,6.20219,5.74411,5.06737,3.86075,3.54186,3.09979,2.47824,2.52373
2004-06-23 15:00:00,6.28273,6.16615,5.70639,5.03648,3.8399,3.53031,3.09542,2.47817,2.52446
2004-06-24 15:00:00,6.25137,6.11772,5.64312,4.96548,3.77237,3.47846,3.05545,2.4459,2.50174
2004-06-25 15:00:00,6.28093,6.15219,5.67409,4.98269,3.7751,3.47311,3.04776,2.43322,2.49024
2004-06-28 15:00:00,6.29807,6.19681,5.77854,5.09752,3.90294,3.57312,3.12863,2.50102,2.53606
2004-06-29 15:00:00,6.29412,6.18066,5.74767,5.04824,3.84723,3.52513,3.088,2.46505,2.50837
2004-06-30 15:00:00,6.284,6.14601,5.68692,4.95681,3.74912,3.44154,3.01749,2.40472,2.4645
2004-07-01 15:00:00,6.32561,6.15133,5.6725,4.89999,3.58939,3.30343,2.91099,2.37347,2.40069
2004-07-02 15:00:00,6.27242,6.07007,5.55816,4.75739,3.45975,3.20984,2.841,2.32037,2.36392
2004-07-06 15:00:00,6.26086,6.06104,5.55723,4.7698,3.4762,3.22224,2.85219,2.33037,2.37131
2004-07-07 15:00:00,6.25217,6.05718,5.56193,4.78709,3.49726,3.2424,2.87011,2.34673,2.38584
2004-07-08 15:00:00,6.23868,6.03666,5.53414,4.75744,3.4701,3.22328,2.85339,2.33348,2.3765
2004-07-09 15:00:00,6.22878,6.02349,5.5148,4.73298,3.44736,3.20653,2.8405,2.32123,2.36914
2004-07-12 15:00:00,6.20786,5.97945,5.46202,4.68598,3.46554,3.24075,2.88458,2.36667,2.40888
2004-07-13 15:00:00,6.20635,5.99224,5.49741,4.74889,3.53024,3.29274,2.92621,2.40287,2.43583
2004-07-14 15:00:00,6.22395,6.01293,5.52169,4.77696,3.55201,3.30724,2.9351,2.40898,2.43877
2004-07-15 15:00:00,6.23468,6.02535,5.53268,4.78274,3.55506,3.30439,2.93173,2.405,2.43399
2004-07-16 15:00:00,6.15469,5.89996,5.35765,4.57143,3.36345,3.1626,2.82578,2.32229,2.37411
