Date,fncl_4.5_1n_partial_duration_30y:internal,fncl_5.0_1n_partial_duration_30y:internal,fncl_5.5_1n_partial_duration_30y:internal,fncl_6.0_1n_partial_duration_30y:internal,fncl_6.5_1n_partial_duration_30y:internal,fncl_7.0_1n_partial_duration_30y:internal,fncl_7.5_1n_partial_duration_30y:internal,fncl_8.0_1n_partial_duration_30y:internal,fncl_8.5_1n_partial_duration_30y:internal
"2007-04-12 15:00:00",1.04731,1.02278,0.78668,0.49401,0.35529,0.26286,0.18261,0.08249,0.08732
"2007-04-13 15:00:00",1.06607,1.04959,0.81134,0.51243,0.36904,0.27284,0.1855,0.0829,0.08746
"2007-04-16 15:00:00",1.05008,1.0257,0.78741,0.49492,0.3556,0.26383,0.18203,0.08123,0.08642
"2007-04-17 15:00:00",1.02869,0.99353,0.75788,0.47343,0.33936,0.25256,0.1794,0.07999,0.08597
"2007-04-18 15:00:00",1.01454,0.97435,0.74016,0.45998,0.33,0.246,0.17775,0.07978,0.08594
"2007-04-19 15:00:00",1.02436,0.98926,0.75309,0.46882,0.33811,0.25329,0.18166,0.08121,0.08757
"2007-04-20 15:00:00",1.02721,0.99509,0.75949,0.47553,0.34342,0.25837,0.18389,0.082,0.08856
"2007-04-23 15:00:00",1.02763,0.9949,0.75709,0.47295,0.34049,0.25643,0.18383,0.08199,0.08914
"2007-04-24 15:00:00",1.0221,0.98667,0.74837,0.46427,0.33347,0.25124,0.18299,0.08134,0.08867
"2007-04-25 15:00:00",1.03354,1.00364,0.7646,0.47719,0.3446,0.25892,0.18588,0.08277,0.08991
"2007-04-26 15:00:00",1.0506,1.03025,0.79084,0.49805,0.36156,0.27217,0.1922,0.08523,0.09191
"2007-04-27 15:00:00",1.05899,1.04506,0.8066,0.51015,0.37153,0.28,0.19545,0.08666,0.09316
"2007-04-30 15:00:00",1.05223,1.0037,0.76659,0.48008,0.3179,0.25191,0.18506,0.08838,0.09749
"2007-05-01 15:00:00",1.02799,1.01254,0.77224,0.48393,0.34381,0.26242,0.18998,0.08329,0.09086
"2007-05-02 15:00:00",1.02887,1.01157,0.77104,0.48283,0.34454,0.26235,0.19079,0.08298,0.09108
"2007-05-03 15:00:00",1.03492,1.02316,0.78263,0.49338,0.35303,0.26948,0.19335,0.08374,0.09166
"2007-05-04 15:00:00",1.02379,1.00584,0.76251,0.4767,0.33985,0.25956,0.19004,0.08206,0.09047
"2007-05-07 15:00:00",1.01069,0.9899,0.74845,0.46693,0.33321,0.25691,0.18918,0.08142,0.09
"2007-05-08 15:00:00",1.01095,0.99158,0.75035,0.46884,0.33478,0.26063,0.1907,0.08213,0.09161
"2007-05-09 15:00:00",1.04391,1.02817,0.78363,0.49558,0.35942,0.2804,0.20321,0.08815,0.09679
"2007-05-10 15:00:00",1.03715,1.02034,0.77711,0.49023,0.35553,0.27976,0.20367,0.08856,0.09737
"2007-05-11 15:00:00",1.04428,1.03446,0.79184,0.50189,0.36545,0.28763,0.20699,0.08925,0.09871
"2007-05-14 15:00:00",1.05996,1.05588,0.80952,0.51474,0.37505,0.29526,0.20976,0.09041,0.0993
"2007-05-15 15:00:00",1.07466,1.07773,0.83086,0.53165,0.38927,0.30576,0.21464,0.09263,0.10094
"2007-05-16 15:00:00",1.07336,1.07596,0.82839,0.52944,0.38864,0.30553,0.21489,0.09201,0.10127
"2007-05-17 15:00:00",1.08835,1.10116,0.85645,0.55379,0.4072,0.32022,0.22007,0.0945,0.10292
"2007-05-18 15:00:00",1.10376,1.12682,0.88444,0.57756,0.42695,0.33624,0.22574,0.09699,0.1048
"2007-05-21 15:00:00",1.10265,1.1252,0.88156,0.57418,0.42301,0.33256,0.22412,0.09637,0.10435
"2007-05-22 15:00:00",1.1153,1.14804,0.90706,0.59519,0.44103,0.34626,0.23014,0.09886,0.10598
"2007-05-23 15:00:00",1.12526,1.16597,0.92928,0.61342,0.45657,0.35886,0.23551,0.10135,0.10866
"2007-05-24 15:00:00",1.12408,1.16462,0.92819,0.61354,0.45667,0.35999,0.23599,0.10094,0.10842
"2007-05-25 15:00:00",1.12083,1.16113,0.92581,0.61348,0.45671,0.36111,0.23624,0.1005,0.10796
"2007-05-29 15:00:00",1.11551,1.15772,0.92516,0.61478,0.45901,0.36356,0.23766,0.10191,0.10874
"2007-05-30 15:00:00",1.11458,1.15538,0.92063,0.61251,0.45685,0.36262,0.2379,0.10127,0.10913
"2007-05-31 15:00:00",1.1824,1.20753,0.96161,0.65108,0.44989,0.3861,0.25986,0.11835,0.13031
"2007-06-01 15:00:00",1.14164,1.25137,0.97869,0.66649,0.5517,0.39362,0.25072,0.10762,0.11484
"2007-06-04 15:00:00",1.12999,1.23366,0.95826,0.65032,0.53739,0.38237,0.24703,0.10493,0.11249
"2007-06-05 15:00:00",1.14781,1.26765,0.99962,0.68822,0.57085,0.41003,0.25622,0.11039,0.11606
"2007-06-06 15:00:00",1.15285,1.27995,1.01703,0.7078,0.58886,0.42601,0.26284,0.11317,0.11993
"2007-06-07 15:00:00",1.18653,1.33186,1.08702,0.78649,0.65848,0.49377,0.29111,0.12946,0.1331
"2007-06-08 15:00:00",1.17961,1.32316,1.08122,0.78937,0.66036,0.49572,0.29237,0.13139,0.13419
"2007-06-11 15:00:00",1.19376,1.35224,1.11251,0.81592,0.68436,0.51829,0.30107,0.13556,0.13765
"2007-06-12 15:00:00",1.17808,1.34628,1.12387,0.84921,0.71694,0.54979,0.31377,0.14385,0.14503
"2007-06-13 15:00:00",1.13313,1.26686,1.04732,0.78316,0.65834,0.50314,0.29866,0.13496,0.13828
"2007-06-14 15:00:00",1.1317,1.26639,1.04725,0.78275,0.65882,0.50591,0.29967,0.1352,0.13968
"2007-06-15 15:00:00",1.13601,1.27051,1.04563,0.77107,0.64894,0.49684,0.29746,0.13313,0.13799
"2007-06-18 15:00:00",1.14412,1.27828,1.05071,0.7704,0.64799,0.49479,0.29754,0.1324,0.13752
"2007-06-19 15:00:00",1.13232,1.25513,1.02237,0.73786,0.62097,0.4723,0.28973,0.1277,0.13497
"2007-06-20 15:00:00",1.13555,1.26751,1.04165,0.76494,0.64498,0.49526,0.29828,0.13228,0.13873
"2007-06-21 15:00:00",1.14759,1.29153,1.06958,0.79832,0.67528,0.52168,0.3079,0.13793,0.14252
"2007-06-22 15:00:00",1.14993,1.29172,1.06736,0.79502,0.67348,0.51994,0.3071,0.13728,0.14307
"2007-06-25 15:00:00",1.13206,1.26364,1.03663,0.76206,0.64515,0.49798,0.29916,0.13347,0.13949
"2007-06-26 15:00:00",1.13396,1.26811,1.04455,0.77263,0.65452,0.50689,0.30239,0.13485,0.14107
"2007-06-27 15:00:00",1.1164,1.23946,1.01504,0.74634,0.63351,0.49282,0.29783,0.13211,0.13954
"2007-06-28 15:00:00",1.12564,1.25882,1.03546,0.76523,0.65057,0.50683,0.30402,0.13449,0.14214
"2007-06-29 15:00:00",1.13026,1.22158,0.99315,0.72411,0.62783,0.46298,0.29187,0.13795,0.14686
"2007-07-02 15:00:00",1.09953,1.21401,0.99403,0.72211,0.62837,0.4816,0.29394,0.13069,0.13853
"2007-07-03 15:00:00",1.10786,1.23044,1.01499,0.74453,0.64681,0.4967,0.29902,0.1338,0.14061
"2007-07-05 15:00:00",1.12839,1.2698,1.05898,0.79114,0.68764,0.53025,0.30937,0.14002,0.14478
"2007-07-06 15:00:00",1.13279,1.28349,1.07796,0.81691,0.71008,0.54948,0.31652,0.14318,0.14872
"2007-07-09 15:00:00",1.1552,1.29932,1.0893,0.81953,0.7112,0.55547,0.32272,0.14629,0.15288
"2007-07-10 15:00:00",1.12779,1.25207,1.03958,0.77019,0.66934,0.52118,0.31045,0.14006,0.14768
"2007-07-11 15:00:00",1.13242,1.26438,1.05677,0.79078,0.68791,0.53743,0.31666,0.14421,0.1508
"2007-07-12 15:00:00",1.13189,1.26557,1.0588,0.79477,0.69039,0.54018,0.31765,0.14421,0.1508
"2007-07-13 15:00:00",1.12795,1.26114,1.05374,0.78812,0.68446,0.53509,0.31454,0.14214,0.14976
"2007-07-16 15:00:00",1.12491,1.25321,1.04451,0.77457,0.67306,0.52611,0.31144,0.14006,0.14768
"2007-07-17 15:00:00",1.13066,1.26466,1.0602,0.79385,0.6895,0.53923,0.31657,0.14318,0.14976
"2007-07-18 15:00:00",1.12225,1.24958,1.0395,0.7692,0.66945,0.5222,0.31041,0.14006,0.14768
"2007-07-19 15:00:00",1.12857,1.25973,1.05152,0.78222,0.67916,0.53033,0.31248,0.1411,0.14872
"2007-07-20 15:00:00",1.10322,1.22264,1.0145,0.74726,0.6518,0.5091,0.30523,0.13695,0.1456
"2007-07-23 15:00:00",1.09683,1.21497,1.01079,0.74568,0.64943,0.50792,0.30523,0.13695,0.1456
"2007-07-24 15:00:00",1.0792,1.19493,0.99426,0.7358,0.64142,0.50492,0.3042,0.13695,0.1456
"2007-07-25 15:00:00",1.06187,1.17165,0.97445,0.72023,0.62946,0.49682,0.30109,0.13695,0.1456
"2007-07-26 15:00:00",1.02721,1.12293,0.92753,0.68353,0.60123,0.47771,0.29493,0.13488,0.14456
"2007-07-27 15:00:00",1.04613,1.15041,0.9472,0.69828,0.61735,0.48894,0.29799,0.13695,0.1456
"2007-07-30 15:00:00",1.06187,1.17288,0.96969,0.7173,0.63399,0.50305,0.30105,0.13799,0.14664
"2007-07-31 15:00:00",1.1011,1.18697,0.97319,0.72007,0.64539,0.48476,0.29794,0.14525,0.15392
"2007-08-01 15:00:00",1.1061,1.21535,0.99475,0.74169,0.66222,0.50766,0.3073,0.14214,0.1508
"2007-08-02 15:00:00",1.10891,1.21539,0.98934,0.72972,0.65155,0.49658,0.3042,0.13902,0.14872
"2007-08-03 15:00:00",1.07733,1.17328,0.95346,0.69567,0.62239,0.47543,0.29704,0.13695,0.14664
"2007-08-06 15:00:00",1.07586,1.17153,0.95417,0.69916,0.62423,0.47741,0.29794,0.13695,0.14768
"2007-08-07 15:00:00",1.09052,1.18844,0.9577,0.69252,0.61839,0.46992,0.29381,0.13488,0.14456
"2007-08-08 15:00:00",1.12304,1.23675,1.007,0.73865,0.65711,0.49894,0.30496,0.14006,0.14872
"2007-08-09 15:00:00",1.12382,1.22545,1.0037,0.73923,0.65691,0.50933,0.31219,0.14525,0.15496
"2007-08-10 15:00:00",1.11028,1.21203,0.99628,0.73672,0.65529,0.50712,0.31106,0.14421,0.15496
"2007-08-13 15:00:00",1.10616,1.21048,0.99765,0.74122,0.65898,0.51202,0.31304,0.14525,0.156
"2007-08-14 15:00:00",1.09843,1.20056,0.99491,0.74414,0.65898,0.51305,0.31407,0.14629,0.156
"2007-08-15 15:00:00",1.09256,1.20114,1.00715,0.77485,0.68648,0.53636,0.32027,0.15044,0.16016
"2007-08-16 15:00:00",1.0583,1.16037,0.97053,0.74023,0.65762,0.51431,0.3151,0.14836,0.15808
"2007-08-17 15:00:00",1.11125,1.21906,1.0088,0.75708,0.67435,0.52465,0.31736,0.1494,0.15912
"2007-08-20 15:00:00",1.1146,1.2169,1.00152,0.74314,0.66198,0.51082,0.31257,0.14633,0.15704
"2007-08-21 15:00:00",1.09749,1.18559,0.96619,0.70296,0.62644,0.48256,0.3015,0.14114,0.15288
"2007-08-22 15:00:00",1.09803,1.18138,0.95464,0.68949,0.61483,0.47315,0.29641,0.13803,0.14976
"2007-08-23 15:00:00",1.08321,1.15765,0.92723,0.66076,0.5873,0.45039,0.28808,0.13284,0.1456
"2007-08-24 15:00:00",1.08328,1.14865,0.9001,0.63165,0.56114,0.42481,0.27685,0.12661,0.13936
"2007-08-27 15:00:00",1.06779,1.12892,0.88241,0.61558,0.54835,0.41471,0.2739,0.12558,0.13832
"2007-08-28 15:00:00",1.05992,1.11952,0.88368,0.61921,0.55382,0.42101,0.2771,0.12765,0.14144
"2007-08-29 15:00:00",1.06178,1.12846,0.89763,0.6342,0.5664,0.43214,0.28012,0.12973,0.14248
"2007-08-30 15:00:00",1.04013,1.10318,0.87892,0.61843,0.55301,0.42172,0.27701,0.12765,0.14144
"2007-08-31 15:00:00",1.06103,1.10372,0.88065,0.61423,0.56028,0.41003,0.27905,0.13699,0.1508
"2007-09-04 15:00:00",1.08006,1.14713,0.9363,0.65971,0.5977,0.44796,0.29672,0.13907,0.1508
"2007-09-05 15:00:00",1.05258,1.10912,0.88859,0.61358,0.56086,0.4178,0.28579,0.13216,0.1463
"2007-09-06 15:00:00",1.05913,1.11689,0.89292,0.61343,0.56069,0.41671,0.28468,0.13216,0.14526
"2007-09-07 15:00:00",1.00309,1.03943,0.8057,0.53624,0.49727,0.36403,0.26544,0.12383,0.13898
"2007-09-10 15:00:00",0.9877,1.01199,0.7743,0.51136,0.47711,0.3516,0.26336,0.12488,0.14003
"2007-09-11 15:00:00",0.98409,1.01032,0.77698,0.51822,0.4825,0.35871,0.26528,0.12488,0.14003
"2007-09-12 15:00:00",0.99764,1.03421,0.80792,0.54625,0.50632,0.38104,0.27236,0.128,0.14316
"2007-09-13 15:00:00",1.02989,1.0737,0.84736,0.58054,0.53529,0.40255,0.27959,0.13112,0.1463
"2007-09-14 15:00:00",1.04046,1.08426,0.85328,0.58195,0.53553,0.40061,0.27864,0.13112,0.14526
"2007-09-17 15:00:00",1.04137,1.08225,0.84844,0.57894,0.53252,0.3977,0.27768,0.13008,0.14421
"2007-09-18 15:00:00",1.05879,1.0935,0.85149,0.57804,0.53403,0.39533,0.27801,0.13112,0.14526
"2007-09-19 15:00:00",1.09651,1.14441,0.90137,0.61726,0.56679,0.41829,0.28743,0.13528,0.14839
"2007-09-20 15:00:00",1.13035,1.20202,0.97754,0.6937,0.63192,0.47423,0.30671,0.14569,0.15675
"2007-09-21 15:00:00",1.11412,1.1796,0.9552,0.67495,0.61466,0.46275,0.30151,0.14257,0.15362
"2007-09-24 15:00:00",1.10612,1.17319,0.95217,0.67342,0.61336,0.46172,0.30047,0.14257,0.15362
"2007-09-25 15:00:00",1.10288,1.16881,0.94848,0.67258,0.6136,0.46204,0.30169,0.14257,0.15362
"2007-09-26 15:00:00",1.11908,1.18738,0.9685,0.69032,0.62872,0.47231,0.30585,0.14465,0.1557
"2007-09-27 15:00:00",1.09461,1.15286,0.92924,0.65173,0.59699,0.44704,0.29558,0.13944,0.15152
"2007-09-28 15:00:00",1.11653,1.15155,0.93168,0.65091,0.58015,0.43455,0.2978,0.1489,0.16198
