date,pnl,position
2002-09-23,-0.65625,-1
2002-09-24,-0.15625,-1
2002-09-25,0.8125,-1
2002-09-26,-0.015625,-1
2002-09-27,-0.578125,-1
2002-09-30,-0.625,-1
2002-10-01,0.6875,-1
2002-10-02,-0.046875,-1
2002-10-03,-0.078125,-1
2002-10-04,-0.046875,-1
2002-10-07,-0.34375,-1
2002-10-08,0.140625,-1
2002-10-09,-0.5625,-1
2002-10-10,0.453125,-1
2002-10-11,0.890625,-1
2002-10-15,1.515625,-1
2002-10-16,0.171875,-1
2002-10-17,0.5625,-1
2002-10-18,-0.125,-1
2002-10-21,0.546875,-1
2002-10-22,0.09375,-1
2002-10-23,-0.078125,-1
2002-10-24,-0.609375,-1
2002-10-25,-0.40625,-1
2002-10-28,-0.21875,-1
2002-10-29,-1.03125,-1
2002-10-30,0.125,-1
2002-10-31,-0.453125,-1
2002-11-01,0.46875,-1
2002-11-04,0.4375,-1
2002-11-05,0.1875,-1
2002-11-06,-0.21875,-1
2002-11-07,-0.9375,-1
2002-11-08,-0.265625,-1
2002-11-12,-0.046875,-1
2002-11-13,-0.1875,-1
2002-11-14,1.390625,-1
2002-11-15,0.234375,-1
2002-11-18,-0.171875,-1
2002-11-19,-0.25,-1
2002-11-20,0.828125,-1
2002-11-21,0.515625,-1
2002-11-22,0.203125,-1
2002-11-25,0.046875,-1
2002-11-26,-0.796875,-1
2002-11-27,1.3125,-1
2002-11-29,-0.328125,-1
2002-12-02,0.125,-1
2002-12-03,0.078125,-1
2002-12-04,-0.484375,-1
2002-12-05,-0.4375,-1
2002-12-06,-0.390625,-1
2002-12-09,-0.375,-1
2002-12-10,-0.046875,-1
2002-12-11,-0.421875,-1
2002-12-12,0.03125,-1
2002-12-13,0.328125,-1
2002-12-16,0.5,-1
2002-12-17,-0.234375,-1
2002-12-18,-0.546875,-1
2002-12-19,-0.765625,-1
2002-12-20,-0.03125,-1
2002-12-23,0.0625,-1
2002-12-24,-0.390625,-1
2002-12-26,-0.125,-1
2002-12-27,-0.796875,-1
2002-12-30,-0.234375,-1
2002-12-31,0.21875,-1
